Quantity,Hardware Description with Size,Grade,Length (in)
128,"ASTM A307 3/4"" All Thread Rod",ASTM A307 Grade A,15.566
21,SS M12x1.75 Hex Bolt,ASTM B8M Class 2,0.178
98,"ASTM A449 3/4"" Stud",ASTM A307 Grade B,5.641
98,"A563 3/4"" Heavy Hex Nut",ASTM A490,1.428
2,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BD,9.276
103,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8M Class 2,10.255
62,"SS 1""-8 Hex Bolt",SAE J429 Grade 2,6.72
5,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 55,3.371
162,SS M8x1.25 Hex Bolt,ASTM A354 Grade BD,9.634
155,SS M12x1.75 Hex Bolt,ASTM A307 Grade B,0.984
87,"SS 1""-8 Hex Bolt",ASTM B8M Class 2,19.805
173,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 5,18.656
11,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 36,13.829
194,"SS 1/2"" Flat Washer",SAE Grade 8,0.611
82,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 55,16.858
86,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BC,9.208
96,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 2,15.185
160,"Steel 3/4"" Turnbuckle",SAE J429 Grade 5,17.796
188,"ASTM A307 1/2"" All Thread Rod",SAE Grade 8,1.521
36,SS M12x1.75 Hex Bolt,SAE Grade 8,15.337
26,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade B,16.636
197,"SS 1/2""-13 Hex Bolt",ASTM F1554 Grade 105,15.973
97,"SS 3/8""-16 Hex Bolt",ASTM A325,13.596
136,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 55,18.461
197,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 105,11.163
70,ASTM A307 M12 All Thread Rod,ASTM A490,1.302
177,ASTM A307 M12 All Thread Rod,ASTM A307 Grade B,3.187
5,"ASTM A449 1/2"" Stud",ASTM B8 Class 1,17.118
195,"A563 3/4"" Heavy Hex Nut",ASTM B8 Class 1,10.201
185,SS M8x1.25 Hex Bolt,ASTM B8 Class 1,0.73
60,SS M12x1.75 Hex Bolt,SAE Grade 8,5.335
164,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,1.561
166,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BC,18.571
23,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BD,7.032
169,"Steel 3/4"" Turnbuckle",SAE J429 Grade 5,0.217
30,"A563 5/8"" Heavy Hex Nut",ASTM A307 Grade A,5.188
108,"Steel 5/8"" Turnbuckle",SAE J429 Grade 8,12.949
65,SS M16x2.0 Hex Bolt,SAE J429 Grade 2,19.126
164,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BC,16.571
180,"SS 1/4""-20 Hex Bolt",ASTM A490,19.354
162,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 5,10.142
151,"Steel 5/8"" Turnbuckle",ASTM A307 Grade A,9.737
91,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 8,19.414
50,"ASTM A502 3/4"" Solid Rivet",ASTM B8 Class 1,16.33
76,"SS 1/2"" Flat Washer",ASTM A325,14.924
192,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,10.361
143,"A563 5/8"" Heavy Hex Nut",ASTM A307 Grade B,8.526
18,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BD,12.187
139,ASTM A307 M12 All Thread Rod,ASTM A307 Grade A,7.398
147,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,18.662
155,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,12.806
2,"SS 1/2""-13 Hex Bolt",SAE Grade 8,6.351
15,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 8,15.732
102,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 5,2.094
184,"Steel 3/4"" Turnbuckle",ASTM A325,4.751
176,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 55,11.293
65,"SS 1/2""-13 Hex Bolt",ASTM F1554 Grade 36,19.603
64,"ASTM A502 3/4"" Solid Rivet",ASTM A490,5.304
149,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 8,13.576
148,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 36,15.475
154,SS M16x2.0 Hex Bolt,ASTM A307 Grade A,7.698
122,"ASTM A307 3/4"" All Thread Rod",SAE Grade 5,11.421
70,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 36,7.421
145,SS M8x1.25 Hex Bolt,SAE Grade 5,12.224
38,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,12.964
126,SS M8x1.25 Hex Bolt,ASTM A325,0.933
85,"ASTM A502 1/2"" Solid Rivet",ASTM B8M Class 2,18.186
64,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade A,11.334
117,"ASTM A307 3/4"" All Thread Rod",SAE Grade 8,19.527
142,"SS 1""-8 Hex Bolt",SAE J429 Grade 5,13.927
44,SS M10x1.5 Hex Bolt,SAE Grade 5,2.611
27,"Steel 5/8"" Turnbuckle",ASTM A490,18.004
51,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 2,13.638
94,"ASTM F1554 3/4"" Anchor Bolt",SAE Grade 5,11.168
54,"ASTM A449 1/2"" Stud",ASTM A325,18.58
172,"SS 3/4"" Flat Washer",ASTM A307 Grade B,15.365
85,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 2,15.603
106,"Aluminum 3/4"" Turnbuckle",ASTM A490,12.258
43,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 8,16.06
33,SS M10x1.5 Hex Bolt,ASTM A354 Grade BD,17.945
189,"SS 3/8""-16 Hex Bolt",SAE Grade 5,2.664
84,"ASTM A449 1/2"" Stud",SAE J429 Grade 2,18.509
81,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 5,15.484
5,"SS 1/2""-13 Hex Bolt",SAE Grade 8,7.917
98,"SS 1""-8 Hex Bolt",ASTM B8M Class 2,0.923
19,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,5.54
22,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 55,17.639
1,"SS 1""-8 Hex Bolt",ASTM A325,11.684
52,"ASTM A449 1/2"" Stud",SAE Grade 5,16.835
131,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BD,18.166
51,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,0.809
27,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 5,18.5
171,"SS 1/4""-20 Hex Bolt",ASTM A325,6.018
138,"ASTM A307 1/2"" All Thread Rod",ASTM A325,16.1
48,"Aluminum 3/4"" Turnbuckle",SAE Grade 8,18.288
30,SS M16x2.0 Hex Bolt,SAE Grade 5,7.528
200,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 36,4.128
165,"ASTM A502 3/4"" Solid Rivet",ASTM A325,0.458
90,SS M12x1.75 Hex Bolt,ASTM A354 Grade BD,5.27
147,"ASTM F1554 5/8"" Anchor Bolt",ASTM A490,0.398
44,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 36,19.236
92,"SS 1""-8 Hex Bolt",SAE J429 Grade 8,3.263
2,"ASTM A449 3/4"" Stud",ASTM A490,12.008
1,"SS 1""-8 Hex Bolt",ASTM A354 Grade BC,9.23
82,"ASTM A449 3/4"" Stud",ASTM B8M Class 2,1.146
113,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 5,17.396
64,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,11.198
81,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,12.768
200,"A563 5/8"" Heavy Hex Nut",ASTM A307 Grade B,15.979
164,"ASTM A502 1/2"" Solid Rivet",ASTM A325,2.277
186,SS M16x2.0 Hex Bolt,SAE J429 Grade 2,17.542
17,"SS 3/4""-10 Hex Bolt",ASTM A354 Grade BD,2.162
3,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 8,12.609
198,SS M8x1.25 Hex Bolt,SAE J429 Grade 8,8.655
154,"ASTM A449 3/4"" Stud",SAE Grade 5,9.735
62,"ASTM A307 3/4"" All Thread Rod",ASTM B8M Class 2,4.248
187,"ASTM A449 3/4"" Stud",SAE Grade 5,2.882
155,"ASTM A449 3/4"" Stud",ASTM A490,15.645
96,"Steel 3/4"" Turnbuckle",SAE J429 Grade 8,4.728
19,"ASTM A502 3/4"" Solid Rivet",ASTM A325,11.134
35,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,0.637
59,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade A,11.003
57,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 55,3.256
103,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 55,7.798
6,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 8,18.014
86,"SS 3/4"" Flat Washer",ASTM B8M Class 2,14.08
144,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,15.401
171,"ASTM A502 3/4"" Solid Rivet",SAE Grade 8,5.033
164,"SS 1/2"" Flat Washer",ASTM F1554 Grade 105,6.495
160,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade A,17.118
64,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 105,13.532
16,"Aluminum 3/4"" Turnbuckle",ASTM A325,9.212
119,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,14.064
78,"SS 1/2"" Flat Washer",ASTM F1554 Grade 55,0.592
10,"Steel 5/8"" Turnbuckle",ASTM A490,4.933
173,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 105,10.043
102,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,4.114
41,"SS 1/2""-13 Hex Bolt",ASTM A490,10.412
99,"SS 1/2"" Flat Washer",ASTM A325,2.563
135,SS M16x2.0 Hex Bolt,ASTM A307 Grade B,4.517
89,"ASTM A449 1/2"" Stud",ASTM A490,4.377
67,"Steel 3/4"" Turnbuckle",ASTM B8M Class 2,8.075
171,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,15.985
116,"Aluminum 5/8"" Turnbuckle",ASTM B8 Class 1,3.655
198,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade B,1.959
22,"SS 1""-8 Hex Bolt",ASTM B8 Class 1,1.964
106,SS M12x1.75 Hex Bolt,ASTM A307 Grade B,16.658
27,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BC,1.286
120,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade B,9.124
112,"SS 1/2"" Flat Washer",ASTM B8 Class 1,18.785
106,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,2.136
169,ASTM A307 M12 All Thread Rod,SAE Grade 5,12.947
17,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,11.054
152,"SS 1/2"" Flat Washer",ASTM B8M Class 2,15.128
128,SS M12x1.75 Hex Bolt,SAE Grade 8,9.947
138,"Steel 5/8"" Turnbuckle",SAE Grade 5,9.67
80,"SS 1/2""-13 Hex Bolt",ASTM A325,13.786
172,SS M16x2.0 Hex Bolt,ASTM A307 Grade A,0.661
81,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,3.868
200,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 8,5.253
149,"A563 3/4"" Heavy Hex Nut",SAE Grade 8,5.225
184,"ASTM A449 1/2"" Stud",ASTM B8 Class 1,0.862
27,ASTM A307 M12 All Thread Rod,ASTM A490,14.674
64,"Steel 3/4"" Turnbuckle",SAE Grade 8,16.038
133,"SS 3/8""-16 Hex Bolt",SAE Grade 8,2.36
108,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade B,18.299
151,"SS 5/8""-11 Hex Bolt",SAE Grade 8,4.566
85,"SS 1/4""-20 Hex Bolt",ASTM A354 Grade BD,2.909
50,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 105,19.871
96,"ASTM A449 1/2"" Stud",ASTM A354 Grade BD,14.513
84,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 105,6.323
40,"SS 3/4"" Flat Washer",SAE Grade 5,8.931
108,"Aluminum 5/8"" Turnbuckle",ASTM A490,6.676
81,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 36,12.756
38,"ASTM A502 3/4"" Solid Rivet",SAE Grade 8,18.669
96,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,15.566
127,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 36,14.628
123,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,14.596
83,"ASTM A449 3/4"" Stud",ASTM A307 Grade B,8.066
94,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,19.878
109,"ASTM A449 3/4"" Stud",ASTM A354 Grade BC,11.004
28,"Steel 3/4"" Turnbuckle",ASTM A354 Grade BC,18.393
36,ASTM A307 M12 All Thread Rod,SAE J429 Grade 2,2.581
28,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 55,2.382
194,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,6.538
117,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BD,15.726
21,"SS 1/2"" Flat Washer",SAE Grade 5,19.797
168,"SS 5/8""-11 Hex Bolt",ASTM A490,10.897
104,"ASTM A449 1/2"" Stud",ASTM A307 Grade B,11.472
88,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade A,7.765
157,"SS 1""-8 Hex Bolt",ASTM A307 Grade A,2.446
64,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 8,13.818
181,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 8,18.623
168,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,16.252
194,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 8,6.273
132,"ASTM A449 1/2"" Stud",ASTM A307 Grade B,6.939
190,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 8,18.337
174,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 2,1.142
87,"A563 5/8"" Heavy Hex Nut",SAE Grade 8,15.576
141,"A563 3/4"" Heavy Hex Nut",ASTM B8M Class 2,1.41
26,SS M16x2.0 Hex Bolt,SAE J429 Grade 5,19.589
110,"SS 3/4"" Flat Washer",ASTM F1554 Grade 105,19.396
35,"SS 3/4""-10 Hex Bolt",ASTM A354 Grade BD,12.683
135,"SS 3/4"" Flat Washer",ASTM A325,7.771
28,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade B,18.224
11,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 55,18.867
192,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade B,9.782
136,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 5,3.106
7,"Steel 3/4"" Turnbuckle",ASTM A325,18.642
132,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 5,11.19
120,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8M Class 2,1.193
174,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 55,11.652
28,"ASTM F1554 3/4"" Anchor Bolt",SAE Grade 5,14.373
3,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 55,0.94
133,SS M12x1.75 Hex Bolt,SAE J429 Grade 5,9.27
100,"Steel 3/4"" Turnbuckle",ASTM F1554 Grade 105,1.664
98,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,3.974
48,"A563 3/4"" Heavy Hex Nut",SAE Grade 8,3.775
123,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 2,11.508
153,SS M10x1.5 Hex Bolt,ASTM A490,15.266
75,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 8,2.321
196,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 2,4.636
47,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,17.82
149,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 8,13.534
65,"SS 1/4""-20 Hex Bolt",ASTM A325,11.767
183,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 5,5.871
117,"A563 5/8"" Heavy Hex Nut",SAE Grade 5,1.128
175,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,17.588
153,SS M12x1.75 Hex Bolt,ASTM A354 Grade BD,19.752
138,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,14.171
60,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 5,15.707
194,"ASTM F1554 3/4"" Anchor Bolt",ASTM A490,11.114
35,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 8,12.491
126,"ASTM A502 1/2"" Solid Rivet",ASTM A354 Grade BD,15.732
156,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade B,0.834
141,"A563 5/8"" Heavy Hex Nut",SAE Grade 5,0.723
61,"SS 1""-8 Hex Bolt",ASTM A490,18.421
74,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,6.474
138,"SS 1/2""-13 Hex Bolt",SAE Grade 8,7.281
137,"ASTM A449 3/4"" Stud",ASTM A307 Grade A,12.933
22,"ASTM A449 3/4"" Stud",SAE Grade 5,1.194
17,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,0.529
100,"ASTM A449 3/4"" Stud",SAE J429 Grade 8,6.313
74,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 2,1.306
170,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade A,3.857
9,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,4.723
191,"SS 1""-8 Hex Bolt",SAE J429 Grade 8,19.005
149,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade A,13.675
13,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 8,13.552
79,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,19.684
24,"Aluminum 3/4"" Turnbuckle",ASTM A490,10.489
145,"SS 5/8""-11 Hex Bolt",ASTM A325,11.59
173,SS M8x1.25 Hex Bolt,ASTM A490,6.795
66,"SS 1/2""-13 Hex Bolt",ASTM F1554 Grade 36,17.188
171,"Aluminum 5/8"" Turnbuckle",SAE Grade 8,4.508
3,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 8,17.292
145,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 55,0.959
130,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 8,5.319
200,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 55,3.702
86,"SS 5/8""-11 Hex Bolt",SAE Grade 5,11.094
137,"SS 1""-8 Hex Bolt",ASTM A307 Grade B,13.781
8,SS M12x1.75 Hex Bolt,SAE Grade 8,7.322
56,"ASTM A449 3/4"" Stud",ASTM A325,17.79
142,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,5.446
151,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 5,9.224
30,"SS 1""-8 Hex Bolt",ASTM A307 Grade A,6.574
33,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 55,13.829
140,"Aluminum 3/4"" Turnbuckle",ASTM A325,4.054
45,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade A,13.17
148,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,19.699
118,"ASTM A307 3/4"" All Thread Rod",ASTM A325,19.177
46,SS M10x1.5 Hex Bolt,SAE Grade 5,1.452
16,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BC,4.856
60,"SS 1/4""-20 Hex Bolt",ASTM A490,6.449
45,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BC,3.102
59,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 55,18.067
171,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,7.988
67,"ASTM A307 3/4"" All Thread Rod",ASTM A490,18.197
11,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 36,5.689
172,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade B,2.066
97,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BC,11.778
127,SS M10x1.5 Hex Bolt,ASTM A490,1.397
134,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,14.081
163,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade A,18.782
5,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 105,15.565
147,"ASTM A307 1/2"" All Thread Rod",SAE Grade 5,12.555
70,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 105,14.003
188,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 36,2.573
150,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 55,11.793
143,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 105,2.175
121,"SS 1/4""-20 Hex Bolt",ASTM B8M Class 2,11.611
74,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,7.529
1,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 36,11.059
189,SS M12x1.75 Hex Bolt,ASTM B8 Class 1,18.81
56,"ASTM A449 1/2"" Stud",ASTM A325,0.588
158,"SS 3/4"" Flat Washer",SAE J429 Grade 5,4.125
184,"Steel 3/4"" Turnbuckle",ASTM A354 Grade BC,10.233
9,SS M16x2.0 Hex Bolt,ASTM A354 Grade BD,7.358
9,"Aluminum 5/8"" Turnbuckle",SAE Grade 8,0.603
119,SS M10x1.5 Hex Bolt,SAE J429 Grade 8,8.074
131,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 105,19.773
181,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8 Class 1,13.26
199,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 2,7.324
26,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BC,16.321
187,"SS 5/8""-11 Hex Bolt",ASTM A325,11.813
116,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 36,10.642
109,"Aluminum 5/8"" Turnbuckle",ASTM A490,15.6
181,"ASTM A449 3/4"" Stud",SAE J429 Grade 2,13.419
136,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 2,17.239
134,"ASTM F1554 3/4"" Anchor Bolt",ASTM A325,9.898
86,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,2.112
161,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BC,11.849
182,"ASTM A307 3/4"" All Thread Rod",ASTM A325,17.401
47,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 5,8.407
132,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,13.673
180,SS M16x2.0 Hex Bolt,ASTM A325,15.367
30,"SS 1/2""-13 Hex Bolt",ASTM A354 Grade BC,4.821
181,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BC,11.227
134,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade B,6.495
56,ASTM A307 M12 All Thread Rod,SAE Grade 8,17.139
98,"SS 3/4"" Flat Washer",ASTM F1554 Grade 36,9.319
7,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 8,15.932
190,SS M10x1.5 Hex Bolt,SAE Grade 8,9.935
7,"SS 3/4""-10 Hex Bolt",ASTM A325,16.689
82,"SS 5/8""-11 Hex Bolt",ASTM A490,7.757
46,"ASTM A449 3/4"" Stud",ASTM B8 Class 1,2.862
112,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BC,0.964
10,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 8,11.292
10,"SS 1/2"" Flat Washer",ASTM B8 Class 1,9.026
170,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 36,11.007
179,"SS 1/2"" Flat Washer",ASTM B8M Class 2,10.327
107,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 5,5.421
42,"SS 3/8""-16 Hex Bolt",ASTM B8 Class 1,12.095
2,"ASTM A307 1/2"" All Thread Rod",ASTM A325,10.321
8,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,16.097
194,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 5,11.368
187,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BD,10.359
58,"SS 1""-8 Hex Bolt",ASTM A490,15.846
79,"ASTM A307 1/2"" All Thread Rod",ASTM A325,19.776
49,"SS 1/2"" Flat Washer",SAE J429 Grade 5,8.058
35,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade B,13.537
142,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 105,10.532
37,SS M16x2.0 Hex Bolt,ASTM B8M Class 2,7.632
117,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 36,8.109
24,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade B,2.607
196,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 55,18.645
89,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,8.35
180,"ASTM F1554 5/8"" Anchor Bolt",ASTM A325,12.063
87,SS M16x2.0 Hex Bolt,SAE Grade 8,12.71
147,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,1.819
78,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,18.215
164,ASTM A307 M12 All Thread Rod,ASTM B8 Class 1,9.075
123,"ASTM A307 1/2"" All Thread Rod",ASTM A490,5.96
3,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade B,13.088
100,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 36,12.016
81,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade B,6.743
81,"Aluminum 3/4"" Turnbuckle",ASTM B8 Class 1,10.532
143,SS M8x1.25 Hex Bolt,ASTM A490,10.075
109,SS M8x1.25 Hex Bolt,SAE Grade 8,9.9
28,SS M12x1.75 Hex Bolt,SAE Grade 5,10.811
130,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade B,3.082
124,SS M16x2.0 Hex Bolt,ASTM A325,12.347
63,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 105,3.026
193,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 36,14.147
37,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 55,12.612
188,"Steel 3/4"" Turnbuckle",SAE Grade 8,19.161
45,"ASTM A449 1/2"" Stud",SAE Grade 8,4.88
170,"Steel 3/4"" Turnbuckle",SAE Grade 8,4.089
179,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8 Class 1,8.423
139,SS M16x2.0 Hex Bolt,ASTM A354 Grade BC,11.343
59,SS M10x1.5 Hex Bolt,SAE Grade 8,16.684
18,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 2,16.547
186,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BD,8.469
124,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade B,3.748
3,"SS 3/4""-10 Hex Bolt",ASTM B8M Class 2,18.529
113,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 5,14.188
143,"SS 3/4""-10 Hex Bolt",ASTM A325,1.573
85,"SS 1/2""-13 Hex Bolt",ASTM A490,11.605
10,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 36,6.647
181,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BD,16.722
157,"ASTM F1554 5/8"" Anchor Bolt",ASTM A325,18.479
199,"SS 1/2"" Flat Washer",SAE Grade 5,13.549
104,"ASTM A502 3/4"" Solid Rivet",ASTM A490,14.12
103,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BC,3.183
200,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,5.892
75,SS M10x1.5 Hex Bolt,ASTM B8 Class 1,3.476
179,SS M16x2.0 Hex Bolt,ASTM A490,15.377
