Quantity,Material with Thickness,Grade,Length (ft)
38,PL 1/2 Steel Plate,ASTM A572 Grade 50,21.24
25,C8x11.5 Channel,ASTM A588,30.53
33,C8x11.5 Channel,ASTM A572 Grade 50,26.26
38,W8x18 Wide Flange Beam,ASTM A500 Grade B,25.86
19,C10x15.3 Channel,ASTM A500 Grade B,35.65
19,W10x22 Wide Flange Beam,ASTM A709 Grade 50,16.59
36,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,14.53
21,C10x15.3 Channel,ASTM A36,1.04
41,C10x15.3 Channel,ASTM A709 Grade 50,1.01
44,W8x18 Wide Flange Beam,ASTM A500 Grade C,5.16
29,HSS6x6x3/8 Hollow Structural Section,ASTM A992,31.64
34,PL 1/2 Steel Plate,ASTM A992,7.79
21,C8x11.5 Channel,ASTM A992,12.22
7,W8x18 Wide Flange Beam,ASTM A572 Grade 50,4.44
41,W10x22 Wide Flange Beam,ASTM A709 Grade 50,24.53
7,HSS4x4x1/4 Hollow Structural Section,ASTM A588,34.58
27,L4x4x3/8 Angle,ASTM A36,21.77
18,C10x15.3 Channel,ASTM A36,22.97
38,C8x11.5 Channel,ASTM A36,39.66
32,L4x4x3/8 Angle,ASTM A572 Grade 50,26.53
35,W10x22 Wide Flange Beam,ASTM A992,1.05
17,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,11.17
40,C10x15.3 Channel,ASTM A992,33.11
49,PL 3/8 Steel Plate,ASTM A36,25.27
36,L4x4x3/8 Angle,ASTM A500 Grade B,30.6
48,L4x4x3/8 Angle,ASTM A709 Grade 50,4.78
11,PL 1/2 Steel Plate,ASTM A588,20.5
35,C8x11.5 Channel,ASTM A500 Grade B,8.87
23,C8x11.5 Channel,ASTM A500 Grade C,36.51
8,PL 1/2 Steel Plate,ASTM A992,1.57
21,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,1.23
28,W10x22 Wide Flange Beam,ASTM A572 Grade 50,29.03
46,C8x11.5 Channel,ASTM A500 Grade C,2.96
3,L4x4x3/8 Angle,ASTM A36,16.0
15,C8x11.5 Channel,ASTM A36,13.54
8,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,35.82
7,W8x18 Wide Flange Beam,ASTM A709 Grade 50,21.26
29,L4x4x3/8 Angle,ASTM A36,3.95
44,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,36.78
3,W10x22 Wide Flange Beam,ASTM A500 Grade C,3.2
34,C10x15.3 Channel,ASTM A36,7.42
35,C10x15.3 Channel,ASTM A500 Grade C,26.46
25,L3x3x1/4 Angle,ASTM A709 Grade 50,32.78
13,PL 3/8 Steel Plate,ASTM A500 Grade B,6.29
20,HSS6x6x3/8 Hollow Structural Section,ASTM A588,8.89
8,W10x22 Wide Flange Beam,ASTM A500 Grade B,39.48
28,W10x22 Wide Flange Beam,ASTM A572 Grade 50,34.46
6,L4x4x3/8 Angle,ASTM A500 Grade C,19.87
27,L3x3x1/4 Angle,ASTM A500 Grade C,31.89
46,C8x11.5 Channel,ASTM A572 Grade 50,13.63
45,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,5.47
2,HSS4x4x1/4 Hollow Structural Section,ASTM A36,23.25
8,W10x22 Wide Flange Beam,ASTM A588,36.23
1,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,11.34
48,PL 1/2 Steel Plate,ASTM A709 Grade 50,12.4
18,W10x22 Wide Flange Beam,ASTM A500 Grade B,28.19
23,L3x3x1/4 Angle,ASTM A992,8.9
32,W8x18 Wide Flange Beam,ASTM A992,32.33
31,W8x18 Wide Flange Beam,ASTM A572 Grade 50,8.61
37,HSS6x6x3/8 Hollow Structural Section,ASTM A36,13.49
26,L3x3x1/4 Angle,ASTM A992,34.22
31,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,2.15
23,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,21.77
13,C8x11.5 Channel,ASTM A588,20.53
1,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,33.29
42,L3x3x1/4 Angle,ASTM A709 Grade 50,12.68
21,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,13.68
29,L4x4x3/8 Angle,ASTM A992,10.22
12,W10x22 Wide Flange Beam,ASTM A500 Grade B,8.86
6,PL 1/2 Steel Plate,ASTM A709 Grade 50,23.28
21,PL 1/2 Steel Plate,ASTM A500 Grade C,25.03
44,W10x22 Wide Flange Beam,ASTM A500 Grade C,9.8
5,C8x11.5 Channel,ASTM A992,9.61
23,PL 3/8 Steel Plate,ASTM A572 Grade 50,10.2
1,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,2.21
40,W10x22 Wide Flange Beam,ASTM A588,14.11
49,C8x11.5 Channel,ASTM A709 Grade 50,5.14
22,L3x3x1/4 Angle,ASTM A992,18.21
47,C8x11.5 Channel,ASTM A500 Grade B,31.66
18,W10x22 Wide Flange Beam,ASTM A36,2.78
28,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,18.52
21,PL 1/2 Steel Plate,ASTM A709 Grade 50,21.17
4,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,9.0
15,PL 3/8 Steel Plate,ASTM A992,1.08
32,PL 3/8 Steel Plate,ASTM A500 Grade B,34.65
17,W8x18 Wide Flange Beam,ASTM A709 Grade 50,4.27
28,PL 3/8 Steel Plate,ASTM A572 Grade 50,17.61
18,W10x22 Wide Flange Beam,ASTM A500 Grade B,37.19
26,W8x18 Wide Flange Beam,ASTM A572 Grade 50,33.43
45,PL 1/2 Steel Plate,ASTM A992,31.16
22,L3x3x1/4 Angle,ASTM A992,16.2
23,W8x18 Wide Flange Beam,ASTM A992,9.55
43,W10x22 Wide Flange Beam,ASTM A588,27.76
43,L3x3x1/4 Angle,ASTM A992,18.36
39,HSS6x6x3/8 Hollow Structural Section,ASTM A588,19.51
23,W10x22 Wide Flange Beam,ASTM A500 Grade C,22.04
34,L3x3x1/4 Angle,ASTM A588,4.54
50,C8x11.5 Channel,ASTM A500 Grade C,4.82
24,W10x22 Wide Flange Beam,ASTM A572 Grade 50,10.65
47,PL 1/2 Steel Plate,ASTM A500 Grade B,39.6
43,W10x22 Wide Flange Beam,ASTM A992,18.4
49,PL 3/8 Steel Plate,ASTM A992,2.63
43,PL 3/8 Steel Plate,ASTM A500 Grade C,39.59
19,PL 1/2 Steel Plate,ASTM A572 Grade 50,20.43
13,W10x22 Wide Flange Beam,ASTM A992,4.9
16,W10x22 Wide Flange Beam,ASTM A36,2.84
14,L3x3x1/4 Angle,ASTM A500 Grade C,17.99
26,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,12.92
47,W8x18 Wide Flange Beam,ASTM A588,16.36
7,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,24.25
3,L3x3x1/4 Angle,ASTM A500 Grade B,39.34
5,L4x4x3/8 Angle,ASTM A709 Grade 50,2.88
29,C10x15.3 Channel,ASTM A36,16.96
2,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,20.06
23,C10x15.3 Channel,ASTM A572 Grade 50,25.73
33,PL 1/2 Steel Plate,ASTM A588,32.6
15,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,18.22
49,C8x11.5 Channel,ASTM A992,5.97
30,L3x3x1/4 Angle,ASTM A588,29.29
35,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,35.29
27,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,28.02
45,L3x3x1/4 Angle,ASTM A992,34.12
3,W8x18 Wide Flange Beam,ASTM A500 Grade C,35.83
48,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,39.49
17,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,19.17
47,L3x3x1/4 Angle,ASTM A500 Grade C,27.89
6,W8x18 Wide Flange Beam,ASTM A709 Grade 50,1.09
24,C8x11.5 Channel,ASTM A500 Grade C,28.73
2,C10x15.3 Channel,ASTM A500 Grade C,25.99
47,L3x3x1/4 Angle,ASTM A588,34.91
11,HSS4x4x1/4 Hollow Structural Section,ASTM A992,14.52
33,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,19.95
14,C10x15.3 Channel,ASTM A36,13.89
3,HSS6x6x3/8 Hollow Structural Section,ASTM A588,30.1
8,C8x11.5 Channel,ASTM A36,29.37
36,HSS6x6x3/8 Hollow Structural Section,ASTM A588,9.72
44,PL 3/8 Steel Plate,ASTM A500 Grade B,19.86
37,C8x11.5 Channel,ASTM A572 Grade 50,25.65
2,PL 3/8 Steel Plate,ASTM A992,30.05
21,C10x15.3 Channel,ASTM A588,26.02
25,L3x3x1/4 Angle,ASTM A992,9.65
30,W10x22 Wide Flange Beam,ASTM A572 Grade 50,6.21
34,HSS4x4x1/4 Hollow Structural Section,ASTM A588,7.84
37,W8x18 Wide Flange Beam,ASTM A572 Grade 50,38.29
22,W8x18 Wide Flange Beam,ASTM A500 Grade B,12.6
22,L3x3x1/4 Angle,ASTM A500 Grade B,7.25
32,HSS6x6x3/8 Hollow Structural Section,ASTM A588,20.28
25,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,25.03
28,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,35.64
6,C10x15.3 Channel,ASTM A572 Grade 50,34.02
31,W8x18 Wide Flange Beam,ASTM A992,12.95
45,L3x3x1/4 Angle,ASTM A500 Grade B,15.14
44,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,31.87
27,W10x22 Wide Flange Beam,ASTM A992,16.88
30,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,39.35
46,L3x3x1/4 Angle,ASTM A572 Grade 50,16.99
12,W8x18 Wide Flange Beam,ASTM A709 Grade 50,19.02
5,L4x4x3/8 Angle,ASTM A500 Grade C,6.61
38,W10x22 Wide Flange Beam,ASTM A709 Grade 50,34.42
7,L3x3x1/4 Angle,ASTM A709 Grade 50,37.81
8,PL 3/8 Steel Plate,ASTM A709 Grade 50,5.56
6,W8x18 Wide Flange Beam,ASTM A500 Grade B,5.75
19,PL 1/2 Steel Plate,ASTM A588,15.7
26,W10x22 Wide Flange Beam,ASTM A992,27.36
18,PL 3/8 Steel Plate,ASTM A36,11.55
49,HSS6x6x3/8 Hollow Structural Section,ASTM A36,18.53
9,HSS4x4x1/4 Hollow Structural Section,ASTM A36,18.1
16,W10x22 Wide Flange Beam,ASTM A500 Grade B,37.95
5,L3x3x1/4 Angle,ASTM A500 Grade B,28.79
30,L3x3x1/4 Angle,ASTM A572 Grade 50,24.39
30,HSS6x6x3/8 Hollow Structural Section,ASTM A36,8.94
19,HSS6x6x3/8 Hollow Structural Section,ASTM A992,32.32
12,W8x18 Wide Flange Beam,ASTM A709 Grade 50,38.28
26,PL 1/2 Steel Plate,ASTM A709 Grade 50,21.7
5,C10x15.3 Channel,ASTM A36,26.75
2,C8x11.5 Channel,ASTM A500 Grade C,2.81
42,C8x11.5 Channel,ASTM A500 Grade B,5.76
48,HSS4x4x1/4 Hollow Structural Section,ASTM A992,28.73
33,C10x15.3 Channel,ASTM A588,12.3
40,L4x4x3/8 Angle,ASTM A992,23.54
47,L3x3x1/4 Angle,ASTM A992,21.79
35,W10x22 Wide Flange Beam,ASTM A500 Grade C,23.47
13,L3x3x1/4 Angle,ASTM A992,24.98
13,L3x3x1/4 Angle,ASTM A709 Grade 50,38.86
21,W8x18 Wide Flange Beam,ASTM A588,8.13
40,L4x4x3/8 Angle,ASTM A500 Grade C,35.77
37,W8x18 Wide Flange Beam,ASTM A500 Grade B,5.94
47,HSS6x6x3/8 Hollow Structural Section,ASTM A992,35.58
20,W10x22 Wide Flange Beam,ASTM A992,35.44
36,HSS4x4x1/4 Hollow Structural Section,ASTM A992,18.03
5,W8x18 Wide Flange Beam,ASTM A992,20.39
34,L3x3x1/4 Angle,ASTM A36,5.57
41,W8x18 Wide Flange Beam,ASTM A709 Grade 50,13.53
8,PL 1/2 Steel Plate,ASTM A992,14.66
18,HSS4x4x1/4 Hollow Structural Section,ASTM A588,23.56
13,L3x3x1/4 Angle,ASTM A709 Grade 50,10.67
37,W10x22 Wide Flange Beam,ASTM A709 Grade 50,16.68
46,W8x18 Wide Flange Beam,ASTM A500 Grade B,11.15
3,W8x18 Wide Flange Beam,ASTM A572 Grade 50,11.6
37,C10x15.3 Channel,ASTM A36,4.5
15,W10x22 Wide Flange Beam,ASTM A500 Grade C,15.34
38,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,29.21
8,W8x18 Wide Flange Beam,ASTM A500 Grade B,28.76
31,L3x3x1/4 Angle,ASTM A709 Grade 50,21.79
23,L4x4x3/8 Angle,ASTM A588,21.88
48,W8x18 Wide Flange Beam,ASTM A588,2.81
6,C10x15.3 Channel,ASTM A588,34.51
49,L3x3x1/4 Angle,ASTM A588,21.69
48,PL 3/8 Steel Plate,ASTM A709 Grade 50,24.35
17,C10x15.3 Channel,ASTM A588,16.58
7,HSS4x4x1/4 Hollow Structural Section,ASTM A992,4.84
29,PL 1/2 Steel Plate,ASTM A36,35.4
26,L4x4x3/8 Angle,ASTM A992,5.03
47,PL 1/2 Steel Plate,ASTM A992,8.24
17,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,11.48
9,W8x18 Wide Flange Beam,ASTM A572 Grade 50,16.36
50,C10x15.3 Channel,ASTM A572 Grade 50,35.77
14,PL 1/2 Steel Plate,ASTM A588,16.93
28,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,11.62
26,PL 3/8 Steel Plate,ASTM A572 Grade 50,37.32
46,L3x3x1/4 Angle,ASTM A500 Grade C,29.05
12,PL 1/2 Steel Plate,ASTM A992,18.65
32,L3x3x1/4 Angle,ASTM A36,16.64
8,C8x11.5 Channel,ASTM A992,4.66
25,L3x3x1/4 Angle,ASTM A992,29.95
47,L3x3x1/4 Angle,ASTM A500 Grade C,18.51
13,C10x15.3 Channel,ASTM A500 Grade C,5.64
4,PL 3/8 Steel Plate,ASTM A572 Grade 50,7.33
19,L3x3x1/4 Angle,ASTM A500 Grade C,26.49
22,L4x4x3/8 Angle,ASTM A36,37.69
11,C10x15.3 Channel,ASTM A709 Grade 50,28.96
13,PL 3/8 Steel Plate,ASTM A992,36.43
46,W8x18 Wide Flange Beam,ASTM A588,17.16
50,L4x4x3/8 Angle,ASTM A500 Grade C,13.18
12,W8x18 Wide Flange Beam,ASTM A992,38.36
35,HSS4x4x1/4 Hollow Structural Section,ASTM A36,20.97
36,L3x3x1/4 Angle,ASTM A500 Grade C,16.71
25,C8x11.5 Channel,ASTM A992,33.47
31,HSS6x6x3/8 Hollow Structural Section,ASTM A588,3.94
33,C8x11.5 Channel,ASTM A572 Grade 50,33.71
29,PL 1/2 Steel Plate,ASTM A709 Grade 50,25.58
50,W8x18 Wide Flange Beam,ASTM A588,21.62
23,PL 1/2 Steel Plate,ASTM A992,17.89
41,C8x11.5 Channel,ASTM A36,32.96
37,L3x3x1/4 Angle,ASTM A500 Grade B,35.81
2,C10x15.3 Channel,ASTM A500 Grade C,16.22
27,L4x4x3/8 Angle,ASTM A500 Grade B,19.17
47,PL 3/8 Steel Plate,ASTM A500 Grade B,37.25
16,W8x18 Wide Flange Beam,ASTM A588,14.07
4,C8x11.5 Channel,ASTM A500 Grade C,4.06
26,HSS6x6x3/8 Hollow Structural Section,ASTM A588,13.14
37,C8x11.5 Channel,ASTM A709 Grade 50,35.77
5,W8x18 Wide Flange Beam,ASTM A709 Grade 50,7.85
49,W10x22 Wide Flange Beam,ASTM A36,14.37
36,PL 1/2 Steel Plate,ASTM A500 Grade C,11.2
18,PL 3/8 Steel Plate,ASTM A36,17.37
21,W8x18 Wide Flange Beam,ASTM A992,7.73
49,PL 1/2 Steel Plate,ASTM A500 Grade B,39.72
9,PL 3/8 Steel Plate,ASTM A36,13.01
27,L4x4x3/8 Angle,ASTM A992,9.24
34,W8x18 Wide Flange Beam,ASTM A588,27.41
27,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,2.71
31,W10x22 Wide Flange Beam,ASTM A500 Grade B,35.78
18,C8x11.5 Channel,ASTM A992,2.56
28,L4x4x3/8 Angle,ASTM A500 Grade C,24.6
5,L3x3x1/4 Angle,ASTM A588,15.19
34,W10x22 Wide Flange Beam,ASTM A500 Grade C,21.94
23,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,14.13
23,C10x15.3 Channel,ASTM A500 Grade C,9.53
23,W10x22 Wide Flange Beam,ASTM A500 Grade B,26.54
16,W10x22 Wide Flange Beam,ASTM A36,26.43
19,L3x3x1/4 Angle,ASTM A572 Grade 50,22.51
21,W10x22 Wide Flange Beam,ASTM A709 Grade 50,8.74
26,C8x11.5 Channel,ASTM A588,33.22
3,L3x3x1/4 Angle,ASTM A36,6.7
18,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,17.67
41,W8x18 Wide Flange Beam,ASTM A992,5.35
49,W8x18 Wide Flange Beam,ASTM A500 Grade B,36.1
14,L4x4x3/8 Angle,ASTM A992,16.7
15,C8x11.5 Channel,ASTM A500 Grade C,34.35
34,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,4.03
14,C8x11.5 Channel,ASTM A992,38.1
23,PL 1/2 Steel Plate,ASTM A500 Grade C,30.94
34,L4x4x3/8 Angle,ASTM A572 Grade 50,32.74
46,HSS4x4x1/4 Hollow Structural Section,ASTM A992,21.42
5,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,25.72
23,L4x4x3/8 Angle,ASTM A992,21.72
28,HSS4x4x1/4 Hollow Structural Section,ASTM A992,21.09
2,HSS4x4x1/4 Hollow Structural Section,ASTM A992,23.77
15,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,29.51
2,W10x22 Wide Flange Beam,ASTM A36,22.43
4,HSS4x4x1/4 Hollow Structural Section,ASTM A992,30.96
48,HSS4x4x1/4 Hollow Structural Section,ASTM A992,4.57
13,W10x22 Wide Flange Beam,ASTM A572 Grade 50,28.69
29,L4x4x3/8 Angle,ASTM A36,24.12
46,PL 3/8 Steel Plate,ASTM A500 Grade C,4.41
31,W10x22 Wide Flange Beam,ASTM A588,9.16
34,L4x4x3/8 Angle,ASTM A572 Grade 50,1.66
4,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,33.05
46,C10x15.3 Channel,ASTM A709 Grade 50,12.26
1,PL 1/2 Steel Plate,ASTM A588,39.93
25,HSS6x6x3/8 Hollow Structural Section,ASTM A588,31.85
12,PL 3/8 Steel Plate,ASTM A572 Grade 50,22.35
6,L4x4x3/8 Angle,ASTM A36,21.49
6,C8x11.5 Channel,ASTM A36,21.99
26,L3x3x1/4 Angle,ASTM A500 Grade C,13.2
3,HSS4x4x1/4 Hollow Structural Section,ASTM A36,35.48
44,C10x15.3 Channel,ASTM A572 Grade 50,21.32
14,PL 3/8 Steel Plate,ASTM A36,9.07
27,L4x4x3/8 Angle,ASTM A992,12.22
44,W10x22 Wide Flange Beam,ASTM A36,38.37
21,W10x22 Wide Flange Beam,ASTM A588,22.26
30,HSS6x6x3/8 Hollow Structural Section,ASTM A36,28.03
17,W10x22 Wide Flange Beam,ASTM A992,18.58
26,W10x22 Wide Flange Beam,ASTM A500 Grade C,34.95
25,PL 3/8 Steel Plate,ASTM A588,19.94
2,HSS4x4x1/4 Hollow Structural Section,ASTM A588,10.84
30,HSS4x4x1/4 Hollow Structural Section,ASTM A36,9.65
44,HSS4x4x1/4 Hollow Structural Section,ASTM A588,17.49
3,PL 3/8 Steel Plate,ASTM A709 Grade 50,17.74
46,PL 3/8 Steel Plate,ASTM A500 Grade C,30.29
12,L4x4x3/8 Angle,ASTM A572 Grade 50,27.51
28,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,17.65
14,C8x11.5 Channel,ASTM A709 Grade 50,25.04
16,W8x18 Wide Flange Beam,ASTM A36,21.61
40,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,11.85
27,C8x11.5 Channel,ASTM A500 Grade B,16.53
13,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,15.83
48,W8x18 Wide Flange Beam,ASTM A572 Grade 50,8.79
17,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,3.64
47,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,37.84
43,C8x11.5 Channel,ASTM A709 Grade 50,11.19
37,W10x22 Wide Flange Beam,ASTM A572 Grade 50,28.71
29,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,2.62
17,PL 3/8 Steel Plate,ASTM A992,31.53
35,PL 1/2 Steel Plate,ASTM A500 Grade C,17.02
14,L3x3x1/4 Angle,ASTM A500 Grade B,12.43
25,C10x15.3 Channel,ASTM A572 Grade 50,35.01
32,L3x3x1/4 Angle,ASTM A36,19.46
42,HSS4x4x1/4 Hollow Structural Section,ASTM A36,19.36
31,C10x15.3 Channel,ASTM A500 Grade B,21.61
47,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,33.4
29,C8x11.5 Channel,ASTM A500 Grade C,28.61
47,W8x18 Wide Flange Beam,ASTM A588,31.85
29,PL 1/2 Steel Plate,ASTM A572 Grade 50,37.72
26,W8x18 Wide Flange Beam,ASTM A709 Grade 50,34.5
48,PL 3/8 Steel Plate,ASTM A572 Grade 50,16.93
22,W10x22 Wide Flange Beam,ASTM A36,1.56
37,C10x15.3 Channel,ASTM A709 Grade 50,15.48
11,W8x18 Wide Flange Beam,ASTM A500 Grade B,37.09
22,C10x15.3 Channel,ASTM A992,4.82
47,C8x11.5 Channel,ASTM A500 Grade B,2.3
48,PL 1/2 Steel Plate,ASTM A500 Grade B,27.13
2,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,2.73
20,C8x11.5 Channel,ASTM A588,16.64
48,C10x15.3 Channel,ASTM A992,25.9
19,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,29.22
28,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,10.63
26,C8x11.5 Channel,ASTM A572 Grade 50,11.13
39,W8x18 Wide Flange Beam,ASTM A992,7.15
19,C10x15.3 Channel,ASTM A992,28.58
9,C8x11.5 Channel,ASTM A572 Grade 50,12.43
29,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,21.65
14,HSS6x6x3/8 Hollow Structural Section,ASTM A588,5.62
33,PL 3/8 Steel Plate,ASTM A588,22.52
47,L3x3x1/4 Angle,ASTM A709 Grade 50,38.97
43,HSS4x4x1/4 Hollow Structural Section,ASTM A992,28.48
31,L3x3x1/4 Angle,ASTM A588,2.65
5,W10x22 Wide Flange Beam,ASTM A572 Grade 50,4.41
12,HSS4x4x1/4 Hollow Structural Section,ASTM A992,16.38
34,L4x4x3/8 Angle,ASTM A992,6.11
18,C8x11.5 Channel,ASTM A572 Grade 50,30.58
47,L3x3x1/4 Angle,ASTM A588,24.31
49,W8x18 Wide Flange Beam,ASTM A572 Grade 50,33.2
49,W10x22 Wide Flange Beam,ASTM A572 Grade 50,24.92
48,PL 3/8 Steel Plate,ASTM A36,17.5
9,W8x18 Wide Flange Beam,ASTM A572 Grade 50,11.33
44,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,8.76
6,PL 1/2 Steel Plate,ASTM A500 Grade C,29.79
2,C10x15.3 Channel,ASTM A572 Grade 50,29.01
40,W8x18 Wide Flange Beam,ASTM A588,5.22
15,W10x22 Wide Flange Beam,ASTM A500 Grade B,35.35
31,W10x22 Wide Flange Beam,ASTM A572 Grade 50,10.81
42,PL 1/2 Steel Plate,ASTM A588,14.37
46,HSS6x6x3/8 Hollow Structural Section,ASTM A992,4.7
38,L3x3x1/4 Angle,ASTM A709 Grade 50,23.7
23,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,8.87
15,PL 1/2 Steel Plate,ASTM A36,35.52
42,HSS4x4x1/4 Hollow Structural Section,ASTM A36,28.78
30,W8x18 Wide Flange Beam,ASTM A500 Grade C,2.8
12,L3x3x1/4 Angle,ASTM A992,3.93
38,PL 1/2 Steel Plate,ASTM A992,16.46
46,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,7.39
14,HSS6x6x3/8 Hollow Structural Section,ASTM A588,10.18
26,L4x4x3/8 Angle,ASTM A500 Grade B,2.68
2,W10x22 Wide Flange Beam,ASTM A992,5.68
26,PL 1/2 Steel Plate,ASTM A500 Grade B,24.08
2,PL 1/2 Steel Plate,ASTM A500 Grade B,17.21
39,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,13.4
17,C10x15.3 Channel,ASTM A588,27.96
42,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,36.24
13,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,5.52
3,W8x18 Wide Flange Beam,ASTM A588,34.42
48,PL 1/2 Steel Plate,ASTM A572 Grade 50,13.08
20,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,3.22
44,PL 1/2 Steel Plate,ASTM A588,35.1
47,PL 3/8 Steel Plate,ASTM A572 Grade 50,20.48
8,C10x15.3 Channel,ASTM A572 Grade 50,35.63
21,L4x4x3/8 Angle,ASTM A709 Grade 50,6.78
42,W10x22 Wide Flange Beam,ASTM A588,35.69
28,PL 3/8 Steel Plate,ASTM A572 Grade 50,37.93
35,HSS4x4x1/4 Hollow Structural Section,ASTM A588,23.17
38,L4x4x3/8 Angle,ASTM A992,13.31
4,PL 3/8 Steel Plate,ASTM A500 Grade C,15.04
28,HSS6x6x3/8 Hollow Structural Section,ASTM A36,29.39
5,PL 1/2 Steel Plate,ASTM A500 Grade B,8.28
19,W8x18 Wide Flange Beam,ASTM A572 Grade 50,24.78
48,W10x22 Wide Flange Beam,ASTM A588,36.0
27,PL 1/2 Steel Plate,ASTM A572 Grade 50,27.1
41,W10x22 Wide Flange Beam,ASTM A572 Grade 50,7.79
47,PL 3/8 Steel Plate,ASTM A500 Grade B,9.12
16,L4x4x3/8 Angle,ASTM A992,11.37
21,L3x3x1/4 Angle,ASTM A588,6.82
30,C10x15.3 Channel,ASTM A992,10.44
29,L4x4x3/8 Angle,ASTM A992,29.82
32,PL 3/8 Steel Plate,ASTM A588,3.09
16,C8x11.5 Channel,ASTM A500 Grade C,14.45
43,W8x18 Wide Flange Beam,ASTM A36,27.74
41,C8x11.5 Channel,ASTM A36,18.53
40,W10x22 Wide Flange Beam,ASTM A500 Grade C,33.84
35,L3x3x1/4 Angle,ASTM A36,6.32
41,C8x11.5 Channel,ASTM A572 Grade 50,8.98
50,HSS4x4x1/4 Hollow Structural Section,ASTM A588,12.36
17,HSS4x4x1/4 Hollow Structural Section,ASTM A36,14.95
49,C10x15.3 Channel,ASTM A992,3.43
46,C10x15.3 Channel,ASTM A500 Grade C,28.65
49,L4x4x3/8 Angle,ASTM A588,13.72
1,PL 1/2 Steel Plate,ASTM A709 Grade 50,1.73
39,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,17.15
22,PL 3/8 Steel Plate,ASTM A500 Grade C,36.18
17,HSS6x6x3/8 Hollow Structural Section,ASTM A36,4.98
36,PL 1/2 Steel Plate,ASTM A500 Grade C,10.78
15,C8x11.5 Channel,ASTM A572 Grade 50,4.22
23,PL 3/8 Steel Plate,ASTM A500 Grade B,38.99
23,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,18.27
22,W8x18 Wide Flange Beam,ASTM A572 Grade 50,4.86
42,W10x22 Wide Flange Beam,ASTM A36,37.51
31,PL 3/8 Steel Plate,ASTM A500 Grade B,33.25
